t;true1;true2;true3;true4;prev1;prev2;prev3;prev4
162;1,3583082706766916;1,7263888888888888;1,6362777777777777;1,9393888888888888;1,8153866925731932;1,8954040547543476;1,1628913173755866;2,20150744128248
163;1,424206349206349;1,7105714285714284;1,6265238095238097;1,6552380952380952;1,5699703829086824;2,1109308640907822;2,475913074379279;2,186219233981339
164;1,3695011337868481;1,6581428571428571;1,5868571428571427;1,8492857142857144;1,8195048596479737;1,8862485313315531;1,2393904741511685;2,172564820527036
165;1,2033959899749374;1,58;1,452842105263158;1,8514210526315789;1,570251351426326;2,273117903172037;2,6649875130363743;2,4357850072709435
166;0,6954220779220779;0,8908636363636364;0,8384090909090909;0,9300454545454545;1,9040838107814029;2,1304194792892153;1,6723039866430605;2,460442452941679
167;0,39399092970521543;0,5926666666666667;0,5463333333333333;0,468952380952381;1,671438876932237;2,525443816692869;3,1081135234767774;2,6677756175322953
168;0,6800595238095238;0,8763;0,82975;1,0321500000000001;1,9163957843556088;2,2546382447321274;1,7858911278485419;2,536061063410055
169;0,912077922077922;1,1208636363636364;1,0946363636363636;1,3013636363636363;1,6096354816780805;2,47782465539392;3,0260896396053916;2,5214719635317304
170;0,9692965367965368;1,2197727272727272;1,1664545454545454;1,3283636363636364;1,9462498196078561;2,1673654384723724;1,5874219443056634;2,4340882672566453
171;1,0080725623582767;1,248047619047619;1,2437142857142856;1,4168095238095237;1,6465986707657285;2,4472370332765525;2,9551827196450327;2,469983730774122
172;0,943673469387755;1,2268571428571429;1,1758095238095239;1,2986666666666666;1,837072327120917;2,0042010985643697;1,4225037167720345;2,279511614499734
173;0,9379978354978356;1,2013636363636364;1,1427272727272728;1,2466818181818182;1,666963831064095;2,292803366506879;2,657850340458851;2,44636101958338
174;0,9746992481203008;1,19;1,128421052631579;1,3120526315789476;1,8052096439905483;1,8526746454596;1,0573873836549215;2,1257783337922205
175;1,1196428571428572;1,3587727272727272;1,2977727272727273;1,432090909090909;1,5458383795900936;2,101139718928201;2,4952719203436855;2,1234653856378753
176;1,238295739348371;1,5628421052631578;1,4999473684210525;1,6535263157894737;1,811678319500499;1,8414426705487192;1,1400569895631314;2,111784141618123
177;1,4058646616541353;1,7613157894736844;1,686421052631579;1,8224210526315787;1,544885529745255;2,262369832788434;2,6918135608881992;2,3890305160839866
178;1,4841200828157348;1,9862608695652173;1,9445652173913044;2,066173913043478;1,9067843179673687;2,0986154659954748;1,5877785127856014;2,400451891451276
179;1,4694444444444446;1,988;1,9581904761904763;2,099047619047619;1,650373083946643;2,526059726696894;3,155570694680867;2,6299030087000776
180;1,551654761904762;2,1164;2,0378;2,2390499999999998;1,9182597527328837;2,2299854566585733;1,7219088484136142;2,498318935808812
181;1,6994805194805196;2,1667727272727273;2,118136363636364;2,3107727272727274;1,5833223945079076;2,486896612130264;3,0859577213892235;2,4959740500745924
182;1,7258390022675738;2,257285714285714;2,2053333333333334;2,360904761904762;1,9421983977352335;2,1509961752381646;1,5272669701119344;2,3974207277792523
183;1,6126298701298702;2,2352727272727275;2,2153636363636364;2,336090909090909;1,6248762298939483;2,4592611561120172;3,0046237506351496;2,447990461339861
184;1,7058616780045353;2,283857142857143;2,199095238095238;2,249857142857143;1,8308575322713145;1,9953744848909905;1,3596989887565014;2,247707452369573
185;1,939920634920635;2,500238095238095;2,4252857142857143;2,5348571428571427;1,643357140127116;2,314849598203933;2,7118783345210886;2,427532547481354
