t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
62;0,3071993391419938;0,12500529395912516;0,2652302354255096;0,18551567536167776;0,2666608009254638;0,13123553964980794;0,30597468895952423;0,15371349577785176;0,22012745807220283;0,14823593119355327;0,29665018859842973;0,16573536188902382
63;0,0910535432198731;0,13998546757855596;0,3216978382473156;0,1545577883618049;0,2780716328683163;0,12192507141653139;0,2508092017444867;0,20130766928902008;0,2497577908579156;0,13155428868443916;0,2485683523813587;0,21391057601810468
64;0,0824562187408797;0,10362723323369934;0,22577541973119078;0,12308862183009951;0,2259058741573043;0,11116898095909972;0,2594103216786775;0,17405203489149162;0,2026800066073755;0,1400620835112549;0,26469388853016135;0,20275643402427565
65;0,17470046794719823;0,11841815793876843;0,2709166800539986;0,15923304132262828;0,16034448045967262;0,1269387106951056;0,26874289591137335;0,18469474718640416;0,15358036596840693;0,14210510889785638;0,2535808601969483;0,18405708506078786
66;0,198324130225956;0,1587324653558144;0,3589383961866972;0,16776219562148292;0,18432260861819133;0,14045319331918849;0,2740500292365227;0,159568522408008;0,18450250705097698;0,1277551565253771;0,2609016116787755;0,13743541719910893
67;0,12529349450540275;0,17463371654856344;0,3187439419940669;0,1640641167243316;0,1614979241385951;0,17280453035390592;0,32652954363910947;0,16127442899413522;0,19336213987678832;0,1526740152152152;0,31978293975462146;0,13993092535143944
68;0,10103029816896084;0,15978793098654331;0,2903523010076598;0,1494336899491194;0,09199699676490655;0,18051895495618842;0,3218483049819902;0,17614308224329298;0,11946096861402372;0,1574643317468799;0,2952156441005641;0,15425232289055757
69;0,1139663928379598;0,12650193911524701;0,20259565329479445;0,109378059526924;0,09874076177002841;0,12331137574600233;0,23333235388697443;0,11675227404667086;0,14750152620718535;0,11778387708497566;0,2510247374732497;0,11685415539239766
70;0,14793347507586038;0,1320587259710884;0,1879816993182534;0,1264424865597956;0,1490385569249454;0,14259514321196418;0,1752790984675293;0,1243367691125504;0,18669010907753752;0,12921823621361145;0,2009107581815056;0,10822729065446554
71;0,11447088988578043;0,09186181678646166;0,22273813581111604;0,11094489395172707;0,1498942328677222;0,09247961809162164;0,22723096688660133;0,12915547675437974;0,18354845300714112;0,09062466032445698;0,23651273554367871;0,12700053294218464
72;0,1780525414763873;0,08478211975551041;0,23547759280038028;0,07648987085825555;0,13297981274555373;0,10163524817619723;0,22834938727989174;0,0802858654426664;0,11717544963082407;0,10262362998657146;0,23719711402290566;0,09309419331209051
